Name,Variety,Type,Germination Period (Days),Water Needs,Fertilization Needs,Companions,Common Pests,Sun Requirements,Time to Plant (Relation to Frost Dates)
Carrot,Nantes,Vegetable,10 to 20,Moderate,"Low, compost in soil","Onions, Peas, Lettuce",Carrot rust fly,Full sun to partial shade,2-3 weeks before last frost
Carrot,Danvers,Vegetable,10 to 20,Moderate,"Low, compost in soil","Onions, Peas, Lettuce",Carrot rust fly,Full sun to partial shade,2-3 weeks before last frost
Lettuce,Butterhead,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Lettuce,Romaine,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Strawberry,June-bearing,Fruit,7 to 10,Moderate,Balanced NPK fertilizer,"Spinach, Beans, Thyme","Slugs, Aphids",Full sun (6-8 hours),After last frost
Strawberry,Everbearing,Fruit,7 to 10,Moderate,Balanced NPK fertilizer,"Spinach, Beans, Thyme","Slugs, Aphids",Full sun (6-8 hours),After last frost
Rosemary,Arp,Herb,14 to 21,Low,"Minimal, compost","Sage, Thyme, Lavender","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Tuscan Blue,Herb,14 to 21,Low,"Minimal, compost","Sage, Thyme, Lavender","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Bell Pepper,California Wonder,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Bell Pepper,Ace,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Zucchini,Black Beauty,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Zucchini,Cocozelle,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Mint,Spearmint,Herb,10 to 15,High,"Minimal, compost","Cabbage, Tomato","Aphids, Spider mites",Partial shade to full sun,After last frost
Mint,Peppermint,Herb,10 to 15,High,"Minimal, compost","Cabbage, Tomato","Aphids, Spider mites",Partial shade to full sun,After last frost
Spinach,Bloomsdale,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Savoy,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Tyee,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Space,Vegetable,7 to 17,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Bloomsdale Long Standing,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Pumpkin,Jack O'Lantern,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Corn, Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Sugar Pie,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Corn, Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Pumpkin,Atlantic Giant,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Corn, Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Watermelon,Crimson Sweet,Fruit,7 to 17,High,Balanced NPK fertilizer,"Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Watermelon,Sugar Baby,Fruit,7 to 14,High,Balanced NPK fertilizer,"Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Watermelon,Charleston Gray,Fruit,7 to 14,High,Balanced NPK fertilizer,"Radish, Nasturtium","Aphids, Cucumber beetles",Full sun (6-8 hours),After last frost
Squash,Yellow Crookneck,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Beans, Corn, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Squash,Patty Pan,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Beans, Corn, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Squash,Butternut,Vegetable,7 to 17,High,Balanced NPK fertilizer,"Beans, Corn, Nasturtium","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Onion,Walla Walla,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Onion maggots, Thrips",Full sun (6-8 hours),4-6 weeks before last frost
Onion,Yellow Sweet Spanish,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Onion maggots, Thrips",Full sun (6-8 hours),4-6 weeks before last frost
Onion,Red Burgundy,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Lettuce, Tomato","Onion maggots, Thrips",Full sun (6-8 hours),4-6 weeks before last frost
Garlic,Softneck,Vegetable,7 to 14,Moderate,"Low, compost","Tomato, Cabbage, Broccoli","Aphids, Thrips",Full sun (6-8 hours),2-4 weeks before last frost
Garlic,Hardneck,Vegetable,7 to 17,Moderate,"Low, compost","Tomato, Cabbage, Broccoli","Aphids, Thrips",Full sun (6-8 hours),2-4 weeks before last frost
Garlic,Elephant,Vegetable,7 to 14,Moderate,"Low, compost","Tomato, Cabbage, Broccoli","Aphids, Thrips",Full sun (6-8 hours),2-4 weeks before last frost
Chives,Common,Herb,10 to 15,Moderate,"Low, compost","Carrot, Tomato, Strawberry","Aphids, Thrips",Full sun to partial shade,After last frost
Chives,Garlic,Herb,10 to 15,Moderate,"Low, compost","Carrot, Tomato, Strawberry","Aphids, Thrips",Full sun to partial shade,After last frost
Chives,Siberian,Herb,10 to 15,Moderate,"Low, compost","Carrot, Tomato, Strawberry","Aphids, Thrips",Full sun to partial shade,After last frost
Thyme,English,Herb,14-21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Lemon,Herb,14-21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Creeping,Herb,14-21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Dill,Bouquet,Herb,10 to 14,Moderate,"Minimal, compost","Cabbage, Lettuce, Onion","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Dill,Mammoth,Herb,10 to 14,Moderate,"Minimal, compost","Cabbage, Lettuce, Onion","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Dill,Fernleaf,Herb,10 to 14,Moderate,"Minimal, compost","Cabbage, Lettuce, Onion","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Arugula,Astro,Vegetable,5 to 7,Moderate,"Low, compost","Lettuce, Pea, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Arugula,Rocket,Vegetable,5 to 7,Moderate,"Low, compost","Lettuce, Pea, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Arugula,Wasabi,Vegetable,5 to 7,Moderate,"Low, compost","Lettuce, Pea, Radish","Flea beetles, Aphids",Full sun to partial shade,2-4 weeks before last frost
Sage,Common,Herb,10 to 21,Low,"Minimal, compost","Rosemary, Thyme, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Sage,Purple,Herb,10 to 21,Low,"Minimal, compost","Rosemary, Thyme, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Sage,Pineapple,Herb,10 to 21,Low,"Minimal, compost","Rosemary, Thyme, Oregano","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Peppers,Jalapeno,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Habanero,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Peppers,Poblano,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Radish,Watermelon,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Radish,Black Spanish,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Radish,Easter Egg,Vegetable,3 to 10,Moderate,"Low, compost","Carrot, Lettuce, Pea","Flea beetles, Aphids",Full sun to partial shade,4-6 weeks before last frost
Tomato,Yellow Pear,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Green Zebra,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Tomato,Brandywine,Fruit,5 to 10,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Carrot","Aphids, Hornworms",Full sun (6-8 hours),1-2 weeks after last frost
Basil,Spicy Globe,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Purple Ruffles,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Dark Opal,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Carrot,Imperator,Vegetable,10 to 20,Moderate,"Low, compost in soil","Onions, Peas, Lettuce",Carrot rust fly,Full sun to partial shade,2-3 weeks before last frost
Carrot,Little Finger,Vegetable,10 to 20,Moderate,"Low, compost in soil","Onions, Peas, Lettuce",Carrot rust fly,Full sun to partial shade,2-3 weeks before last frost
Carrot,Purple Dragon,Vegetable,10 to 20,Moderate,"Low, compost in soil","Onions, Peas, Lettuce",Carrot rust fly,Full sun to partial shade,2-3 weeks before last frost
Lettuce,Oakleaf,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Lettuce,Looseleaf,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Lettuce,Iceberg,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Strawberry,Alpine,Fruit,7 to 14,Moderate,Balanced NPK fertilizer,"Spinach, Beans, Thyme","Slugs, Aphids",Full sun (6-8 hours),After last frost
Strawberry,Seascape,Fruit,7 to 14,Moderate,Balanced NPK fertilizer,"Spinach, Beans, Thyme","Slugs, Aphids",Full sun (6-8 hours),After last frost
Strawberry,Albion,Fruit,7 to 14,Moderate,Balanced NPK fertilizer,"Spinach, Beans, Thyme","Slugs, Aphids",Full sun (6-8 hours),After last frost
Rosemary,Salem,Herb,14 to 21,Low,"Minimal, compost","Sage, Thyme, Lavender","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Hill Hardy,Herb,14 to 21,Low,"Minimal, compost","Sage, Thyme, Lavender","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Rosemary,Blue Boy,Herb,14 to 21,Low,"Minimal, compost","Sage, Thyme, Lavender","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Bell Pepper,Sweet Banana,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Bell Pepper,Cubanelle,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Bell Pepper,Chocolate Beauty,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Onion, Spinach","Aphids, Beetles",Full sun (6-8 hours),1-2 weeks after last frost
Zucchini,Zucchini Gold Rush,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Zucchini,Costata Romanesco,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Zucchini,Eight Ball,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Nasturtium, Marigold","Squash bugs, Aphids",Full sun (6-8 hours),After last frost
Mint,Apple Mint,Herb,10 to 15,High,"Minimal, compost","Cabbage, Tomato","Aphids, Spider mites",Partial shade to full sun,After last frost
Mint,Chocolate Mint,Herb,10 to 15,High,"Minimal, compost","Cabbage, Tomato","Aphids, Spider mites",Partial shade to full sun,After last frost
Mint,Pineapple Mint,Herb,10 to 15,High,"Minimal, compost","Cabbage, Tomato","Aphids, Spider mites",Partial shade to full sun,After last frost
Spinach,New Zealand,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Indian Summer,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Spinach,Red Cardinal,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Strawberry, Radish","Aphids, Leaf miners",Partial shade to full sun,4-6 weeks before last frost
Cucumber,Marketmore 76,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Radish, Nasturtium","Cucumber beetles, Aphids",Full sun (6-8 hours),After last frost
Cucumber,Boston Pickling,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Radish, Nasturtium","Cucumber beetles, Aphids",Full sun (6-8 hours),After last frost
Cucumber,Lemon,Vegetable,7 to 14,High,Balanced NPK fertilizer,"Radish, Nasturtium","Cucumber beetles, Aphids",Full sun (6-8 hours),After last frost
Beet,Detroit Dark Red,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Cabbage, Lettuce, Radish","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Beet,Golden Beet,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Cabbage, Lettuce, Radish","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Beet,Chioggia,Vegetable,5 to 10,Moderate,Balanced NPK fertilizer,"Cabbage, Lettuce, Radish","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Kale,Lacinato,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Red Russian,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Dwarf Blue Curled,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Thyme,French,Herb,14 to 21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Caraway,Herb,14 to 21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Thyme,Woolly,Herb,14 to 21,Low,"Minimal, compost","Cabbage, Tomato, Eggplant","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Greek,Herb,10 to 14,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Italian,Herb,10 to 14,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Oregano,Cuban,Herb,10 to 14,Low,"Minimal, compost","Basil, Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Pea,Sugar Snap,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Lettuce","Aphids, Root maggots",Full sun to partial shade,4-6 weeks before last frost
Pea,Little Marvel,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Lettuce","Aphids, Root maggots",Full sun to partial shade,4-6 weeks before last frost
Pea,Oregon Sugar Pod,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Carrot, Radish, Lettuce","Aphids, Root maggots",Full sun to partial shade,4-6 weeks before last frost
Eggplant,Black Beauty,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Peppers","Flea beetles, Aphids",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Rosa Bianca,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Peppers","Flea beetles, Aphids",Full sun (6-8 hours),1-2 weeks after last frost
Eggplant,Fairy Tale,Vegetable,7 to 14,Moderate,Balanced NPK fertilizer,"Basil, Marigold, Peppers","Flea beetles, Aphids",Full sun (6-8 hours),1-2 weeks after last frost
Basil,Sweet Thai,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Cinnamon,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Basil,Lemon,Herb,5 to 10,Moderate,Organic compost,"Tomato, Peppers","Aphids, Spider mites",Full sun (6-8 hours),After last frost
Lettuce,Butterhead,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Lettuce,Romaine,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Lettuce,Batavia,Vegetable,7 to 10,High,Balanced NPK fertilizer,"Carrot, Radish, Cucumber","Slugs, Aphids",Partial shade,2-4 weeks before last frost
Parsley,Italian Flat Leaf,Herb,14 to 21,Moderate,Balanced NPK fertilizer,"Tomato, Asparagus, Corn","Aphids, Armyworms",Full sun to partial shade,2-4 weeks before last frost
Parsley,Curled,Herb,14 to 21,Moderate,Balanced NPK fertilizer,"Tomato, Asparagus, Corn","Aphids, Armyworms",Full sun to partial shade,2-4 weeks before last frost
Parsley,Hamburg,Herb,14 to 21,Moderate,Balanced NPK fertilizer,"Tomato, Asparagus, Corn","Aphids, Armyworms",Full sun to partial shade,2-4 weeks before last frost
Cilantro,Santo,Herb,7 to 10,Moderate,"Minimal, compost","Tomato, Basil, Onion","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Cilantro,Leisure,Herb,7 to 10,Moderate,"Minimal, compost","Tomato, Basil, Onion","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Cilantro,Slo-Bolt,Herb,7 to 10,Moderate,"Minimal, compost","Tomato, Basil, Onion","Aphids, Armyworms",Full sun (6-8 hours),After last frost
Kale,Siberian,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Redbor,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Kale,Dwarf Siberian,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Beet, Celery, Onion","Aphids, Cabbage worms",Full sun to partial shade,4-6 weeks before last frost
Chard,Rainbow,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Bean, Brassicas, Onion","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Chard,Fordhook Giant,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Bean, Brassicas, Onion","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Chard,Bright Lights,Vegetable,5 to 10,High,Balanced NPK fertilizer,"Bean, Brassicas, Onion","Aphids, Leaf miners",Full sun to partial shade,2-4 weeks before last frost
Fennel,Florence,Herb,10 to 14,Moderate,"Minimal, compost","Dill, Cucumber, Tomato","Aphids, Caterpillars",Full sun (6-8 hours),2-4 weeks after last frost
Fennel,Bronze,Herb,10 to 14,Moderate,"Minimal, compost","Dill, Cucumber, Tomato","Aphids, Caterpillars",Full sun (6-8 hours),2-4 weeks after last frost
Fennel,Sweet,Herb,10 to 14,Moderate,"Minimal, compost","Dill, Cucumber, Tomato","Aphids, Caterpillars",Full sun (6-8 hours),2-4 weeks after last frost
